Date	P3254	P7417	P3416
03-Apr-14	2230	3090	1940
04-Apr-14	1680	2320	2410
05-Apr-14	2480	2270	2930
06-Apr-14	1850	3350	2690
07-Apr-14	2240	2300	2820
10-Apr-14	2220	2340	2690
11-Apr-14	2600	2160	2510
12-Apr-14	2830	2830	2200
13-Apr-14	2420	2730	2110
14-Apr-14	2620	2070	2710
17-Apr-14	1190	2500	1310
18-Apr-14	2120	1880	2450
19-Apr-14	1950	2590	2180
20-Apr-14	2460	2600	2450
21-Apr-14	2740	1410	2240
24-Apr-14	2430	2470	2700
25-Apr-14	1890	1350	2600
26-Apr-14	2640	2150	2320
27-Apr-14	2810	3100	2740
28-Apr-14	2230	2080	2100
01-May-14	2040	2100	3220
02-May-14	1700	2070	2520
03-May-14	1540	1380	2270
04-May-14	1930	2040	1480
05-May-14	2500	1720	2690
08-May-14	2640	2180	1640
09-May-14	2420	2170	1780
10-May-14	2300	2550	2090
11-May-14	3340	2770	2780
12-May-14	2140	2370	2680
15-May-14	2040	2570	2000
16-May-14	2660	3410	2080
17-May-14	3440	3210	2930
18-May-14	1990	1850	2550
19-May-14	2120	2410	2550
22-May-14	2460	2750	3450
23-May-14	3650	2380	2410
24-May-14	2640	1750	2760
25-May-14	2190	2590	2070
26-May-14	2260	2740	3000
29-May-14	2680	2160	2000
30-May-14	2020	1950	2130
31-May-14	2410	2230	2410
01-Jun-14	1420	2540	2160
02-Jun-14	2580	2670	2740
05-Jun-14	2530	1200	2580
06-Jun-14	1990	3010	2860
07-Jun-14	2560	3280	2850
08-Jun-14	2600	2900	3640
09-Jun-14	2700	2690	2380
