Date	P2912	P3254	P4762	P3416	P5110
25-Jul-15	1520	1740	1690	1380	1140
26-Jul-15	1840	1300	1380	1330	1530
27-Jul-15	1460	1640	1650	1320	1500
28-Jul-15	1340	1450	1710	1600	1800
31-Jul-15	1370	1530	1320	1400	1430
01-Aug-15	1590	1690	1560	1360	1690
02-Aug-15	1290	1300	1270	1340	1810
03-Aug-15	1800	1660	1800	1510	1720
04-Aug-15	1130	1360	1520	1560	1230
07-Aug-15	1590	1510	1980	1530	1290
08-Aug-15	1290	1700	1640	1520	1470
09-Aug-15	1790	1630	1530	1690	1710
10-Aug-15	1230	1790	1450	1320	1730
11-Aug-15	1150	1630	1440	1470	1190
14-Aug-15	1690	1440	1480	1620	1360
15-Aug-15	1590	1410	1550	1220	1290
16-Aug-15	1220	1550	1650	1060	1330
17-Aug-15	1530	1800	1490	1830	1500
18-Aug-15	1390	1660	1390	1510	1710
21-Aug-15	1450	1630	1460	1720	1360
22-Aug-15	1530	1640	1730	1670	1560
23-Aug-15	1090	1420	1570	1650	1500
24-Aug-15	1670	1960	1340	1250	1400
25-Aug-15	1590	1610	1420	1480	1770
28-Aug-15	1690	1940	1660	1440	1230
29-Aug-15	1390	1400	1380	1440	1240
30-Aug-15	1230	1340	1430	1590	1190
31-Aug-15	1320	1310	1490	1390	1300
01-Sep-15	1420	1320	1580	1300	1730
04-Sep-15	1630	1610	1430	1280	1630
05-Sep-15	1520	1420	1310	1470	1730
06-Sep-15	1570	1400	1400	1180	1480
07-Sep-15	1190	1540	1630	1950	1610
08-Sep-15	1510	1760	1500	1880	1600
11-Sep-15	1400	1520	1410	1380	960
12-Sep-15	1760	1370	1330	1570	1120
13-Sep-15	1410	1510	1570	1530	1220
14-Sep-15	1660	1260	1280	1520	1780
15-Sep-15	1540	1640	1340	1710	1450
18-Sep-15	1460	1610	1420	1480	1600
19-Sep-15	1690	1970	1660	1450	1530
20-Sep-15	1400	1400	1380	1440	1360
21-Sep-15	1230	1840	1240	1590	1750
22-Sep-15	1330	1720	1310	1360	1820
25-Sep-15	1390	1280	1560	1310	1420
26-Sep-15	1650	1480	1440	1300	1740
27-Sep-15	1530	1430	1330	1480	1890
28-Sep-15	1580	1410	1410	1210	1360
29-Sep-15	1680	1410	1640	990	1470
