Date	P5110	P7417	P3254	P2913
2-Oct-14	1570	1650	1540	1530
3-Oct-14	1800	1770	1370	1590
4-Oct-14	1370	1890	1650	1800
5-Oct-14	1960	1620	1210	1460
6-Oct-14	1400	1580	1730	1570
9-Oct-14	1530	1680	1700	1830
10-Oct-14	1350	1590	1210	1880
11-Oct-14	1900	1070	1490	1580
12-Oct-14	1330	1700	1960	1640
13-Oct-14	1810	1570	1730	1450
16-Oct-14	1670	1710	1640	1660
17-Oct-14	1320	1520	1660	1560
18-Oct-14	1640	1880	2080	1450
19-Oct-14	1840	1990	1990	1500
20-Oct-14	1500	1460	1560	1600
23-Oct-14	2150	1700	1600	1860
24-Oct-14	2140	1560	1970	1130
25-Oct-14	1420	1560	1940	1460
26-Oct-14	1660	1760	1430	1620
27-Oct-14	1660	1320	1530	1320
30-Oct-14	1650	1870	1610	1880
31-Oct-14	1290	1670	1410	1910
1-Nov-14	1530	1950	1380	1430
2-Nov-14	1570	1680	1690	1300
3-Nov-14	1510	1430	1550	1960
6-Nov-14	1800	1510	1640	2110
7-Nov-14	1360	1540	1680	1560
8-Nov-14	1710	1840	1660	1660
9-Nov-14	1750	1610	1790	1790
10-Nov-14	1310	1670	1590	1910
13-Nov-14	1810	1670	1640	1300
14-Nov-14	1750	1370	1390	1910
15-Nov-14	1720	1690	1540	1440
16-Nov-14	1650	1760	1630	1450
17-Nov-14	1320	1450	1630	1710
20-Nov-14	1280	1730	2050	1660
21-Nov-14	2130	1580	1710	1560
22-Nov-14	1480	1400	1710	1500
23-Nov-14	2000	1570	1610	1770
24-Nov-14	1550	1750	1280	1400
27-Nov-14	1720	1660	1670	1550
28-Nov-14	1870	1630	1760	1450
29-Nov-14	1590	1860	1180	1880
30-Nov-14	1680	1530	1590	1420
1-Dec-14	1520	1330	1970	1350
